Protein,Ligand,Method_1,Pose_1_Rank,Method_2,Pose_2_Rank,RMSD_Å,Centroid_Δ_Å,Comparison
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,3,0.93,49.13,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,1,1.95,47.09,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,2,1.7,48.1,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,1,2.03,24.35,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,2,1.85,25.18,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,1,2.12,48.67,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,2,2.28,49.6,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,1,0.88,66.48,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,2,0.88,66.48,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,3,0.74,19.66,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,1,1.12,65.47,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,2,1.12,65.47,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,3,0.72,40.36,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,1,1.68,54.42,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,2,1.68,54.42,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,3,1.75,58.5,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,1,1.42,30.61,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,2,1.21,29.38,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,3,1.55,29.64,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,1,1.54,53.62,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,2,1.32,54.35,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,3,1.32,53.94,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,1,1.36,40.02,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,2,1.42,41.27,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,3,1.15,40.63,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,1,EquiBind,1,1.29,38.81,DiffDock#1 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,1,EquiBind,2,1.44,40.67,DiffDock#1 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,1,EquiBind,3,1.3,40.12,DiffDock#1 vs EquiBind#3
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,2,EquiBind,1,1.29,38.81,DiffDock#2 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,2,EquiBind,2,1.44,40.67,DiffDock#2 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,2,EquiBind,3,1.3,40.12,DiffDock#2 vs EquiBind#3
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,3,EquiBind,1,1.43,42.59,DiffDock#3 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,3,EquiBind,2,1.36,41.59,DiffDock#3 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,3,EquiBind,3,1.47,41.82,DiffDock#3 vs EquiBind#3
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,1,EquiBind,1,1.68,44.36,DiffDock#1 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,1,EquiBind,2,1.47,49.98,DiffDock#1 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,1,EquiBind,3,1.54,45.06,DiffDock#1 vs EquiBind#3
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,2,EquiBind,1,1.66,34.87,DiffDock#2 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,2,EquiBind,2,1.74,41.13,DiffDock#2 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,2,EquiBind,3,1.85,34.96,DiffDock#2 vs EquiBind#3
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,3,EquiBind,1,1.68,44.36,DiffDock#3 vs EquiBind#1
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,3,EquiBind,2,1.47,49.98,DiffDock#3 vs EquiBind#2
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,3,EquiBind,3,1.54,45.06,DiffDock#3 vs EquiBind#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,1,1.53,20.19,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,2,1.53,20.19,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,3,1.66,40.27,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,1,1.11,20.96,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,2,1.11,20.96,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,3,1.23,40.18,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,1,1.64,20.39,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,2,1.64,20.39,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,3,1.47,40.06,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,1,1.47,23.68,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,2,1.46,23.64,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,3,1.22,23.41,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,1,0.8,24.82,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,2,0.83,24.78,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,3,1.2,24.56,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,1,1.41,23.81,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,2,1.46,23.77,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,3,1.47,23.54,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,1,1.01,31.15,DiffDock#1 vs EquiBind#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,2,1.04,31.17,DiffDock#1 vs EquiBind#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,3,1.11,30.74,DiffDock#1 vs EquiBind#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,1,1.01,31.15,DiffDock#2 vs EquiBind#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,2,1.04,31.17,DiffDock#2 vs EquiBind#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,3,1.11,30.74,DiffDock#2 vs EquiBind#3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,1,1.4,41.26,DiffDock#3 vs EquiBind#1
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,2,1.08,41.13,DiffDock#3 vs EquiBind#2
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,3,1.35,41.37,DiffDock#3 vs EquiBind#3
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,1,1.96,52.05,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,2,1.96,52.05,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,3,2.08,58.72,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,1,1.96,67.26,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,2,1.96,67.26,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,3,2.16,53.25,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,1,0.99,54.02,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,2,0.99,54.02,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,3,2.22,50.83,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,1,2.21,26.88,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,2,1.35,26.4,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,1,2.22,30.2,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,2,1.46,31.79,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,1,2.39,26.87,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,2,1.7,28.26,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,DiffDock,1,EquiBind,1,2.63,46.61,DiffDock#1 vs EquiBind#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,DiffDock,1,EquiBind,2,1.66,47.13,DiffDock#1 vs EquiBind#2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,DiffDock,2,EquiBind,1,2.63,46.61,DiffDock#2 vs EquiBind#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,DiffDock,2,EquiBind,2,1.66,47.13,DiffDock#2 vs EquiBind#2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,DiffDock,3,EquiBind,1,2.25,40.68,DiffDock#3 vs EquiBind#1
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,DiffDock,3,EquiBind,2,1.84,41.95,DiffDock#3 vs EquiBind#2
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,1,1.68,60.96,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,2,1.68,60.96,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,3,1.72,46.41,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,1,1.83,63.31,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,2,1.83,63.31,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,3,1.64,55.92,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,1,1.83,44.03,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,2,1.83,44.03,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,3,1.62,59.34,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,1,1.63,27.85,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,2,0.69,27.24,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,3,1.84,27.66,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,1,1.55,53.61,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,2,1.24,54.0,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,3,1.52,53.85,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,1,1.6,27.92,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,2,0.93,27.3,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,3,1.68,27.73,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,1,1.28,25.52,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,2,1.39,25.48,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,3,1.26,25.48,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,1,1.37,23.78,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,2,1.27,23.75,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,3,1.1,23.75,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,1,1.12,24.95,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,2,1.27,24.92,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,3,1.51,24.92,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,1,2.44,23.31,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,2,1.62,25.83,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,1,2.26,23.98,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,2,1.63,22.71,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,1,2.51,22.84,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,2,1.68,25.15,AutoDock_Vina#3 vs EquiBind#2
